model name,trial,rubric items deducted
Claude Opus 4,1,"2b,2c"
Claude Opus 4,2,"2b,2c"
Claude Opus 4,3,2b
Claude Opus 4.1,1,2b
Claude Opus 4.1,2,2b
Claude Opus 4.1,3,"2b,2c"
Claude Sonnet 3.7,1,"2b,2c"
Claude Sonnet 3.7,2,
Claude Sonnet 3.7,3,"2b,2c"
Claude Sonnet 4,1,"2b,2c"
Claude Sonnet 4,2,"2b,2c"
Claude Sonnet 4,3,"2b,2c"
Deepseek-R1,1,2b
Deepseek-R1,2,"3a,3b"
Deepseek-R1,3,"2b,2c,3a,3b"
Gemini 2.0 Flash,1,"2b,3a,3b"
Gemini 2.0 Flash,2,"2b,3b"
Gemini 2.0 Flash,3,"2b,3a"
Gemini 2.5 Flash,1,2b
Gemini 2.5 Flash,2,2b
Gemini 2.5 Flash,3,"2b,2c,3a"
Gemini 2.5 Pro,1,2b
Gemini 2.5 Pro,2,2b
Gemini 2.5 Pro,3,2b
Gpt-4.1,1,"2b,2c,3a,3b"
Gpt-4.1,2,2b
Gpt-4.1,3,"2b,3a,3b"
Gpt-5,1,"2b,3a"
Gpt-5,2,2b
Gpt-5,3,2b
gpt-oss-120,1,"2b,2c"
gpt-oss-120,2,"2b,2c,3a"
gpt-oss-120,3,"2b,3a"
gpt-oss-20,1,2b
gpt-oss-20,2,2b
gpt-oss-20,3,"2b,2c"
o3,1,2b
o3,2,"2b,2c"
o3,3,"2b,2c"
Grok 3,1,"3a,3b"
Grok 3,2,2b
Grok 3,3,"2b,2c"
Grok 4,1,"2b,2c,3a,3b"
Grok 4,2,"2b,2c,3a,3b"
Grok 4,3,2b
Llama3.3 70,1,"2b,2c"
Llama3.3 70,2,"2b,3a,3b"
Llama3.3 70,3,"2b,2c,3a,3b"
Llama 4 Scout,1,"2b,2c,3a,3b"
Llama 4 Scout,2,"2b,2c,3a,3b"
Llama 4 Scout,3,"2b,2c,3a,3b"
Mistral Large,1,"2b,2c,3a,3b"
Mistral Large,2,"2b,2c,3a,3b"
Mistral Large,3,"2b,2c,3a,3b"
Qwen 3,1,"2b,2c,3a,3b"
Qwen 3,2,"2b,2c,3a,3b"
Qwen 3,3,"2b,2c,3a,3b"
Qwen 3 Coder,1,"2b,3a,3b"
Qwen 3 Coder,2,"2b,2c,3a,3b"
Qwen 3 Coder,3,"2b,2c,3a,3b"
