model name,trial,rubric items deducted
Claude Opus 4,1,"3b,4c"
Claude Opus 4,2,3a
Claude Opus 4,3,"3b,4c"
Claude Opus 4.1,1,4c
Claude Opus 4.1,2,4c
Claude Opus 4.1,3,
Claude Sonnet 3.7,1,4c
Claude Sonnet 3.7,2,"3a,4c"
Claude Sonnet 3.7,3,
Claude Sonnet 4,1,4c
Claude Sonnet 4,2,4a
Claude Sonnet 4,3,4c
Deepseek-R1,1,"1a,2a"
Deepseek-R1,2,"2a,3a"
Deepseek-R1,3,"3a,4a"
Gemini 2.0 Flash,1,"3a,4c"
Gemini 2.0 Flash,2,"3a,4a"
Gemini 2.0 Flash,3,4a
Gemini 2.5 Flash,1,4c
Gemini 2.5 Flash,2,4c
Gemini 2.5 Flash,3,4a
Gemini 2.5 Pro,1,4c
Gemini 2.5 Pro,2,4c
Gemini 2.5 Pro,3,4c
Gpt-4.1,1,4a
Gpt-4.1,2,4a
Gpt-4.1,3,4a
Gpt-5,1,4a
Gpt-5,2,4a
Gpt-5,3,4c
gpt-oss-120,1,4c
gpt-oss-120,2,
gpt-oss-120,3,4a
gpt-oss-20,1,4a
gpt-oss-20,2,
gpt-oss-20,3,4c
o3,1,4c
o3,2,4c
o3,3,4c
Grok 3,1,"3a,4a"
Grok 3,2,4a
Grok 3,3,4a
Grok 4,1,4c
Grok 4,2,4c
Grok 4,3,4a
Llama3.3 70,1,
Llama3.3 70,2,"2a,3a,4c"
Llama3.3 70,3,"3a,4a"
Llama 4 Scout,1,"2a,3a"
Llama 4 Scout,2,"2a,3a"
Llama 4 Scout,3,"2a,3a"
Mistral Large,1,4a
Mistral Large,2,"3a,4a"
Mistral Large,3,4a
Qwen 3,1,"3a,4a"
Qwen 3,2,4a
Qwen 3,3,4c
Qwen 3 Coder,1,"2a,3a,4c"
Qwen 3 Coder,2,"2a,3a,4c"
Qwen 3 Coder,3,"3b,4c"
