model name,trial,rubric items deducted
Claude Opus 4,1,"3a,3b"
Claude Opus 4,2,"3a,3b"
Claude Opus 4,3,"3a,3b"
Claude Opus 4.1,1,"3a,3b"
Claude Opus 4.1,2,"1c,2a,3a,3b"
Claude Opus 4.1,3,"1c,2a,3a,3b"
Claude Sonnet 3.7,1,"1a,3a,3b"
Claude Sonnet 3.7,2,"2a,3a,3b"
Claude Sonnet 3.7,3,"2a,3a,3b"
Claude Sonnet 4,1,"3a,3b"
Claude Sonnet 4,2,"1a,3a,3b"
Claude Sonnet 4,3,"3a,3b"
Deepseek-R1,1,"2a,3a,3b"
Deepseek-R1,2,"2a,3a,3b"
Deepseek-R1,3,"2a,3a,3b"
Gemini 2.0 Flash,1,"1a,1d,2a,3a,3b"
Gemini 2.0 Flash,2,"2a,3a"
Gemini 2.0 Flash,3,"1a,1e,3a,3b"
Gemini 2.5 Flash,1,"3a,3b"
Gemini 2.5 Flash,2,"2a,3a,3b"
Gemini 2.5 Flash,3,"3a,3b"
Gemini 2.5 Pro,1,3a
Gemini 2.5 Pro,2,"3a,3b"
Gemini 2.5 Pro,3,"3a,3b"
Gpt-4.1,1,3a
Gpt-4.1,2,3a
Gpt-4.1,3,"3a,3c"
Gpt-5,1,"3a,3b,3c"
Gpt-5,2,"3a,3b,3c"
Gpt-5,3,"2a,3a,3b,3c"
gpt-oss-120,1,"1b,3a,3b,3c"
gpt-oss-120,2,"3a,3b,3c"
gpt-oss-120,3,"1b,3a,3b"
gpt-oss-20,1,"3a,3c"
gpt-oss-20,2,"3a,3b,3c"
gpt-oss-20,3,"1a,1e,2a,3a,3b,3c"
o3,1,3a
o3,2,"3a,3c"
o3,3,"3a,3c"
Grok 3,1,"2a,3a,3b"
Grok 3,2,"3a,3b"
Grok 3,3,"2a,3a,3b"
Grok 4,1,"3a,3b"
Grok 4,2,"3a,3b"
Grok 4,3,"3a,3b"
Llama3.3 70,1,"1a,2a,3a,3b"
Llama3.3 70,2,"1b,2a,3a,3b"
Llama3.3 70,3,"1a,1b,2a,3a,3b"
Llama 4 Scout,1,"1a,2a,3a,3b"
Llama 4 Scout,2,"1a,2a,3a,3b"
Llama 4 Scout,3,"1a,2a,3a,3b"
Mistral Large,1,"1a,1d,2a,3a,3b"
Mistral Large,2,"2a,3a,3b"
Mistral Large,3,"1a,1b,2a,3a,3b"
Qwen 3,1,"2a,3a,3b"
Qwen 3,2,"2a,3a"
Qwen 3,3,"1a,1b,2a,3a,3b"
Qwen 3 Coder,1,"1a,3a,3b"
Qwen 3 Coder,2,"2a,3a,3b"
Qwen 3 Coder,3,"1a,1f,2a,3a,3b"
