model name,trial,rubric items deducted
Claude Opus 4,1,"3b,4a"
Claude Opus 4,2,"3b,4a"
Claude Opus 4,3,"3b,4a"
Claude Opus 4.1,1,"3b,4a"
Claude Opus 4.1,2,"3b,4a"
Claude Opus 4.1,3,"3b,4a"
Claude Sonnet 3.7,1,"3b,4a"
Claude Sonnet 3.7,2,"3b,4a"
Claude Sonnet 3.7,3,"2c,3b,4a"
Claude Sonnet 4,1,4a
Claude Sonnet 4,2,4a
Claude Sonnet 4,3,"2c,3b,4a"
Deepseek-R1,1,4a
Deepseek-R1,2,4a
Deepseek-R1,3,"3b,4a"
Gemini 2.0 Flash,1,4a
Gemini 2.0 Flash,2,"2b,4a"
Gemini 2.0 Flash,3,"3a,4a"
Gemini 2.5 Flash,1,3b
Gemini 2.5 Flash,2,"3b,4a"
Gemini 2.5 Flash,3,"3b,4b"
Gemini 2.5 Pro,1,4a
Gemini 2.5 Pro,2,"3b,4a"
Gemini 2.5 Pro,3,"3b,4a"
Gpt-4.1,1,
Gpt-4.1,2,"2b,3b,4a"
Gpt-4.1,3,4b
Gpt-5,1,"3b,4b"
Gpt-5,2,"3b,4b"
Gpt-5,3,"3b,4b"
gpt-oss-120,1,5a
gpt-oss-120,2,"2b,3b"
gpt-oss-120,3,"2e,3b,4b"
gpt-oss-20,1,"3b,4a,5a"
gpt-oss-20,2,"3b,4a"
gpt-oss-20,3,"3b,4a,5a"
o3,1,"3b,4b"
o3,2,"3b,4b"
o3,3,"3b,4b"
Grok 3,1,4a
Grok 3,2,"3b,4a"
Grok 3,3,4a
Grok 4,1,4a
Grok 4,2,4b
Grok 4,3,4b
Llama3.3 70,1,"4a,5a"
Llama3.3 70,2,"3b,4a,5a"
Llama3.3 70,3,"2b,3a,4a"
Llama 4 Scout,1,"2b,2g,3a,4a"
Llama 4 Scout,2,"2b,2f,2g,3a,4a"
Llama 4 Scout,3,"2b,3a,4a"
Mistral Large,1,"2b,2d,2g,3a,4a,5a"
Mistral Large,2,"2e,3b,4a,5a"
Mistral Large,3,4a
Qwen 3,1,4b
Qwen 3,2,"3b,4a"
Qwen 3,3,"3b,4a"
Qwen 3 Coder,1,"2b,2f,4a"
Qwen 3 Coder,2,"2b,2f,3a,4a"
Qwen 3 Coder,3,"2b,4a"
